"movies_name"
"b'The Shawshank Redemption'"
"b""Schindler's List"""
"b'The Godfather'"
"b'The Godfather: Part II'"
"b'The Dark Knight'"
"b'Pulp Fiction'"
"b'The Good, the Bad and the Ugly'"
"b'12 Angry Men'"
"b'The Lord of the Rings: The Return of the King'"
"b'Fight Club'"
"b'The Lord of the Rings: The Fellowship of the Ring'"
"b'Star Wars: Episode V - The Empire Strikes Back'"
"b'Inception'"
"b'Forrest Gump'"
"b""One Flew Over the Cuckoo's Nest"""
"b'The Lord of the Rings: The Two Towers'"
"b'Goodfellas'"
"b'Star Wars: Episode IV - A New Hope'"
"b'The Matrix'"
"b'Seven Samurai'"
"b'City of God'"
"b'Se7en'"
"b'The Usual Suspects'"
"b'The Silence of the Lambs'"
"b'Once Upon a Time in the West'"
"b""It's a Wonderful Life"""
"b'L\xc3\xa9on: The Professional'"
"b'Casablanca'"
"b'Life Is Beautiful'"
"b'Raiders of the Lost Ark'"
"b'American History X'"
"b'Psycho'"
"b'Rear Window'"
"b'Jaws'"
"b'Infernal Affairs'"
"b'Nausica\xc3\xa4 of the Valley of the Wind'"
"b'Twelve Monkeys'"
"b'Fanny and Alexander'"
"b'The Terminator'"
"b'The Road'"
"b'Ip Man'"
"b'Stalker'"
"b'The Night of the Hunter'"
"b'Lagaan: Once Upon a Time in India'"
"b'Groundhog Day'"
"b'Harry Potter and the Deathly Hallows: Part 2'"
"b'Rocky'"
"b'Dog Day Afternoon'"
"b'Captain America: The Winter Soldier'"
"b""Who's Afraid of Virginia Woolf?"""
