R0000100,R0536300,R0536401,R0536402,R1204500,R1235800,R1482600,T5201400,T5202300,T5207400,T5211900,T5213200,T5397100,T6055500,T6141700,T6141800,T6145800,T6206400,T6210200,T6216400,T6216401,T6216402,T6216403,T6216500,T6216501,T6216502,T6216503,T6231000,T8123600,T8123700,T8129600,T8134500,T8976700,T9039300,T9039400,T9039500,T9039600,T9039700,T9039800,T9039900,T9040000,T9093100,T9093300,U0203700,T5915200,T5206800,T8128900,T5797300,T5808400,T6316000,T6230100,R0532200,R1302400,R1302500,R1486500,R1486600,R1486900,R1487700,R1487800,U0009400
1,2,9,1981,-3,1,4,29,1,4,1,409947,-4,47000,5,7,4,1,0,1,1,7,7,5,1,7,1,800,32,1,4,1,70000,152,2,3,5,1,3,5,1,2,0,-4,0,12,16,0,3,-4,4470,1,16,8,4,4,-4,0,2,4
2,1,7,1982,-4,1,2,28,1,2,1,335519,-4,52000,5,7,4,1,0,1,1,7,7,5,2,6,4,3850,31,1,2,1,83000,180,3,1,4,2,4,4,1,2,0,-4,0,12,14,1,1,-4,9470,0,17,15,4,-4,-4,1,0,2
3,2,9,1983,63000,1,2,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,30,3,3,1,-2,145,5,3,5,1,5,4,1,3,0,-5,-5,-5,14,-5,-5,-5,-5,0,-3,12,2,-4,300,1,1,-5
4,2,2,1981,11700,1,2,29,1,2,1,171833,-4,41000,5,1,4,3,0,1,1,7,7,1,1,7,7,4840,32,1,2,1,29000,200,5,3,5,1,4,4,1,2,0,-4,0,12,13,1,2,-4,6690,0,12,12,4,-4,-4,0,1,2
5,1,10,1982,-3,1,2,28,1,2,1,302201,-4,62000,5,6,4,2,0,1,2,6,6,5,6,6,2,3740,31,1,2,1,76000,190,5,1,5,1,5,5,1,2,0,-4,1,12,12,1,1,-4,9470,1,12,12,3,3,200,5,3,2
6,2,1,1982,-3,1,2,28,1,2,1,249081,-4,31200,5,4,-1,1,0,1,1,7,7,3,1,7,7,2540,31,1,2,1,15000,-1,5,5,5,1,2,3,2,2,0,-4,1,12,14,1,3,-4,7860,0,-3,12,2,-4,500,1,0,2
7,1,4,1983,-3,1,2,27,1,1,1,265287,-4,19000,5,8,4,4,0,1,1,7,7,1,5,7,1,3920,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,1,11,-5,-4,-4,0,7680,0,-3,12,4,-4,500,0,0,1
8,2,6,1981,-3,1,4,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,-5,-5,1,6,12,2,2,500,0,0,5
9,1,10,1982,-3,1,4,28,1,4,1,397375,-4,24000,5,11,3,1,0,1,1,6,5,7,4,6,7,3920,31,1,5,1,54000,200,4,2,5,2,5,4,2,2,0,-4,0,12,18,0,2,-4,8270,1,6,12,2,2,500,0,0,5
10,1,3,1984,-3,1,4,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,6,12,4,4,500,1,0,-5
11,2,6,1982,25000,1,2,28,1,2,1,249081,-4,16000,5,4,4,4,0,3,4,5,3,7,6,4,2,5860,31,1,2,1,33000,178,2,1,3,1,2,2,1,3,0,-4,0,12,16,1,3,-4,8190,0,12,14,1,2,200,1,2,4
12,1,10,1981,0,1,2,29,1,1,1,323621,-4,52000,5,6,5,3,0,2,2,7,7,4,2,6,4,4850,32,1,1,1,-1,265,5,4,3,1,2,2,1,4,0,-4,0,11,13,0,2,1,4470,0,-3,12,2,1,-4,1,0,1
13,1,11,1984,-4,1,2,26,1,0,1,288736,-4,-4,5,5,3,1,0,7,7,5,3,7,2,1,1,4110,29,1,1,1,30000,140,4,2,3,1,4,4,2,1,0,-4,0,10,10,0,3,0,8680,0,-3,6,4,-4,-4,0,0,1
14,1,7,1980,0,1,2,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,-5,-5,1,12,12,4,4,-4,0,0,1
15,2,1,1983,-4,1,2,28,1,2,1,274737,-4,12000,4,11,3,1,0,1,1,7,7,1,1,7,7,4760,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,12,-5,0,3,-4,5380,1,13,12,3,3,-4,0,0,-5
16,1,2,1982,13000,1,2,28,1,3,1,123086,220,38000,6,2,3,5,1,1,2,-2,-2,6,5,-2,3,-4,31,1,3,1,-4,220,-2,5,4,1,3,4,3,4,1,-4,0,12,16,-4,-4,-4,-4,0,10,11,1,-4,500,3,2,3
17,2,11,1981,3750,1,2,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,-3,14,3,-4,-4,3,2,-5
18,1,2,1982,0,1,1,28,1,1,1,111200,280,-4,5,8,3,1,0,1,3,7,7,7,2,7,7,-4,32,1,1,1,23000,140,5,1,5,1,5,5,1,1,0,-4,0,9,13,-4,-4,-4,-4,0,10,15,4,3,300,1,1,1
19,1,4,1984,0,1,1,26,1,-3,1,134680,-4,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9620,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,0,-3,-5,1,3,-4,6170,0,10,15,3,-4,300,2,0,-3
20,1,12,1980,-3,1,1,30,1,1,1,154505,-4,-4,-2,-2,3,3,0,1,1,7,7,1,1,7,7,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,0,8,-5,-4,-4,-4,-4,0,10,11,2,-4,-4,0,1,1
21,1,8,1982,0,1,2,28,1,1,1,123086,-4,-4,5,11,3,3,0,3,5,3,4,3,3,2,2,-4,31,3,1,1,-4,180,5,1,5,1,5,5,1,1,0,-4,0,8,8,-4,-4,-4,-4,0,11,13,2,-4,600,3,3,1
22,1,6,1982,-3,1,2,28,1,2,1,123086,-4,50000,5,9,5,3,0,1,1,7,7,6,3,6,4,3730,31,1,2,1,50000,225,2,2,4,1,1,5,1,3,0,-4,0,-3,13,1,2,-4,7680,0,12,11,4,-4,400,1,2,2
23,2,1,1983,-3,1,2,27,1,3,1,111900,-4,54000,4,11,3,3,0,1,1,7,7,2,7,5,5,50,30,1,3,1,54800,132,3,4,2,1,3,2,1,3,0,270,2,12,15,0,1,-4,9170,0,10,10,4,2,300,1,0,3
24,1,6,1984,-3,1,2,26,1,0,1,127081,-4,-4,-2,-2,3,3,0,1,1,7,5,7,7,1,5,-4,29,1,0,1,1000,147,2,5,2,1,5,-2,1,2,0,-4,0,8,8,-4,-4,-4,-4,0,5,7,4,4,600,3,0,0
25,2,3,1983,0,1,2,27,1,1,1,120920,-4,-4,5,4,5,4,0,7,5,6,6,7,6,6,3,-4,30,1,1,1,-4,250,3,4,4,2,2,2,4,2,0,-4,1,8,8,-4,-4,-4,-4,1,12,12,-4,-4,600,0,0,1
26,1,10,1980,-3,1,1,30,1,0,1,166959,-4,-4,5,6,3,3,1,1,7,7,6,1,3,4,7,-4,33,1,0,1,-4,200,-2,5,5,4,1,5,1,4,1,-4,0,11,11,-4,-4,-4,-4,0,-3,12,4,-4,-4,0,0,0
27,1,5,1981,-3,1,1,29,1,0,0,124816,-4,-4,5,6,3,2,0,1,6,7,5,3,5,7,7,-4,32,1,0,1,-4,160,4,4,5,1,4,3,1,1,0,-4,0,-3,-3,-4,-4,-4,-4,0,8,10,2,-4,-4,2,2,0
28,2,11,1983,13000,1,1,27,1,4,1,120315,-4,31000,6,0,4,1,0,1,2,7,6,6,1,7,7,2310,30,1,4,1,40000,205,3,2,2,2,5,4,2,2,0,-4,0,12,17,1,1,-4,7860,0,12,12,4,4,400,0,0,4
29,2,1,1983,-3,1,4,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,-3,-3,4,4,100,1,1,-5
30,1,6,1981,-3,1,4,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,-3,-3,2,-4,300,0,0,-5
31,1,7,1982,-4,1,4,28,1,4,1,346646,-4,80000,5,9,2,1,0,7,7,7,6,7,7,5,4,600,31,1,4,1,60000,140,3,3,3,3,3,3,5,3,0,-4,0,12,16,0,3,-4,770,1,12,12,3,2,-4,2,0,4
32,2,7,1981,-4,1,4,29,1,4,1,322101,-4,80000,5,8,4,2,0,2,2,7,6,2,1,7,7,110,32,1,4,1,180331,145,3,4,4,2,4,5,1,2,0,-4,1,12,18,-2,2,-4,7390,1,16,16,4,1,-4,0,1,4
33,2,12,1980,-3,1,4,29,1,4,1,399323,-4,15000,5,4,3,2,0,4,3,7,5,5,1,3,-2,2720,32,1,4,1,15000,133,2,2,3,1,4,4,2,2,0,-4,1,12,16,0,1,-4,7890,1,16,14,2,2,-4,0,1,4
34,2,12,1984,9800,1,4,25,1,4,1,388854,-4,-4,5,7,3,2,0,3,3,6,6,7,6,4,4,-4,29,1,4,1,-2,130,3,3,3,1,4,3,2,2,0,-4,0,12,17,-4,-4,-4,-4,1,9,16,3,3,200,0,2,4
35,1,1,1983,-4,1,4,27,1,4,1,336599,-4,-2,5,7,4,2,0,4,3,5,5,4,3,4,5,1100,30,1,4,1,47000,180,3,3,3,3,3,3,3,1,0,-4,0,12,16,0,4,-4,7270,1,-3,-3,4,3,-4,0,0,4
36,2,8,1980,40500,1,4,30,4,2,1,442728,366,-4,5,5,3,3,0,1,1,7,7,4,4,6,4,-4,33,4,2,1,20000,150,3,4,4,1,5,5,1,3,0,-4,2,12,14,-4,-4,-4,-4,1,16,15,1,1,-4,7,3,3
37,2,11,1980,47500,1,4,30,1,4,1,407153,-4,50000,5,6,4,2,0,3,6,5,2,6,5,2,2,4550,33,1,4,1,50000,145,3,3,3,4,2,2,4,3,0,-4,1,12,17,1,2,-4,6180,1,11,-3,4,2,-4,0,0,4
38,2,9,1981,47500,1,4,29,1,4,1,328417,-4,45000,5,7,3,2,0,2,2,6,6,5,5,3,3,4550,32,1,4,1,65000,155,4,4,3,2,4,4,2,2,0,-4,0,12,16,1,2,-4,6180,1,11,-3,4,2,-4,0,0,4
39,1,2,1980,-3,1,2,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,34,1,4,1,15000,200,3,3,3,3,2,5,2,2,0,-4,-5,-5,16,-5,-5,-5,-5,1,-3,-3,2,1,500,2,3,4
40,2,5,1984,-4,1,4,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,12,12,2,3,-4,0,0,-5
41,2,1,1983,-4,1,4,27,1,4,1,337372,350,40000,5,1,3,2,0,1,2,6,6,7,7,5,5,4110,30,1,4,1,40000,110,3,3,4,2,4,4,2,2,0,-4,0,12,17,0,2,-4,8680,1,12,12,2,4,-4,1,0,4
42,1,8,1983,-4,1,4,27,1,4,1,309552,-4,-4,5,9,4,4,0,2,6,4,6,6,2,4,5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,12,-5,-4,-4,-4,-4,1,-3,-3,2,2,-4,1,0,-5
43,2,10,1981,-3,1,1,29,1,1,1,118933,-4,26000,5,2,4,1,0,4,5,4,4,-2,6,4,4,7750,32,1,1,1,-4,140,4,4,3,1,3,3,4,3,1,-4,0,11,13,-4,-4,-4,7580,0,-4,-3,1,-4,-4,0,0,1
44,1,12,1981,0,1,2,28,1,2,1,124057,-4,-4,5,9,3,4,0,1,5,6,6,3,1,6,6,-4,31,1,2,1,-4,-2,-1,5,5,1,-2,4,1,1,0,-4,2,12,13,-4,-4,-4,-4,1,-3,-3,2,2,-4,2,0,2
45,2,2,1984,-3,1,1,26,1,0,1,102980,-4,-2,5,1,5,3,0,1,4,7,7,7,6,4,7,3600,29,1,3,1,1000,205,2,2,3,1,3,2,1,1,0,-4,0,11,13,1,2,-4,8170,0,-4,8,3,-4,0,0,0,3
46,1,2,1984,-3,1,1,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,30,1,1,1,-4,170,5,5,5,1,5,3,1,1,0,-4,-5,-5,95,-5,-5,-5,-5,0,-4,8,-4,-4,0,0,0,1
47,2,9,1982,5500,1,1,28,1,2,1,113203,-4,21000,5,0,3,1,0,1,1,7,7,1,1,6,7,5810,31,1,2,1,25000,130,5,2,4,1,3,4,1,2,0,-4,0,12,14,0,1,-4,9170,0,-4,11,1,-4,200,0,0,2
48,2,7,1983,5500,1,1,27,1,4,1,104790,-4,45000,5,7,4,2,0,1,1,7,5,2,1,4,6,2010,30,1,4,1,51000,180,5,5,5,2,4,5,1,3,0,-4,0,12,16,1,2,-4,8370,0,-4,11,3,-4,200,1,2,4
49,2,12,1982,-3,1,1,27,1,2,1,113203,-4,33000,5,5,4,2,0,4,4,4,4,5,5,5,5,3410,31,1,2,1,38000,145,3,3,3,3,4,2,1,2,0,-4,1,12,12,0,1,-4,5070,0,-3,12,3,2,400,0,0,2
50,2,2,1983,-3,1,1,27,1,1,1,104790,-4,26000,5,4,4,3,0,4,5,5,4,4,4,4,4,5260,30,1,1,1,23000,175,3,4,3,2,2,3,4,2,0,-4,0,10,13,0,4,-4,7870,0,-4,12,4,-4,250,0,0,1
51,1,6,1980,3750,1,1,30,1,2,1,145416,-4,24000,5,5,4,3,0,5,4,4,3,3,5,3,4,3920,33,1,2,1,32000,-2,4,4,3,2,4,4,2,2,0,-4,4,12,14,0,3,-4,7680,0,-4,12,1,-4,100,0,0,2
52,1,12,1983,3750,1,1,26,1,2,1,117937,300,32000,5,9,4,4,0,1,1,7,5,3,4,3,7,4530,30,3,2,1,30000,255,2,1,3,1,4,3,2,3,0,-4,1,12,14,0,1,-4,6070,0,-4,12,1,-4,100,0,0,2
53,2,4,1984,-3,1,1,26,1,2,1,102980,-4,30000,5,2,2,2,0,1,1,7,7,5,3,5,3,3920,29,1,2,1,28000,109,4,3,4,1,5,5,1,3,0,-4,0,12,12,0,2,-4,6570,1,12,12,4,4,600,0,0,2
54,2,12,1984,-3,1,1,25,1,3,1,102980,-4,10000,5,4,5,3,0,2,3,7,7,4,1,2,2,3650,29,1,3,1,35000,245,3,4,3,2,3,3,3,4,0,350,0,-3,14,1,3,-4,8090,0,-4,14,2,-4,100,2,0,3
55,2,2,1981,-3,1,2,29,3,4,0,87670,-4,41000,5,4,5,3,0,2,2,7,6,5,2,5,1,3920,32,3,4,1,37000,303,4,4,4,2,2,3,3,4,0,-4,1,12,16,0,2,-4,9590,1,12,10,4,4,-4,0,0,4
56,2,2,1982,110700,1,4,28,1,5,1,336248,-4,75000,5,5,4,2,0,1,2,7,5,5,3,3,5,3230,31,1,5,1,70000,180,2,3,4,2,3,4,2,2,0,-4,1,12,18,1,2,-4,7860,1,16,18,2,2,400,0,1,5
57,1,12,1982,0,1,1,27,1,2,1,104659,-4,2000,-2,12,3,1,0,2,6,2,4,2,5,3,5,3920,30,1,2,1,3000,138,3,4,2,1,2,3,1,1,0,-4,0,12,12,1,1,-4,7680,1,12,12,4,1,400,0,0,2
58,1,11,1983,25500,1,1,27,1,2,1,117937,-4,62000,5,8,3,1,0,4,2,7,6,6,5,4,5,3800,30,1,2,1,77000,205,5,4,5,1,4,5,1,1,0,-4,0,12,14,1,2,-4,9470,1,12,12,1,1,500,5,1,2
59,2,4,1981,22800,1,1,29,1,2,1,118933,-4,-4,5,10,5,5,1,1,2,7,6,4,1,-2,5,4950,32,1,2,1,18000,308,3,1,5,1,4,5,1,3,1,340,0,12,15,-4,3,-4,5690,0,-4,16,4,4,-4,2,0,2
60,1,1,1984,56600,1,4,27,1,4,1,332833,-4,4000,5,9,3,4,0,1,1,7,6,5,6,3,5,5510,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,0,12,-5,-4,-4,-4,7580,0,-4,14,4,4,500,0,0,5
61,2,5,1983,-3,1,1,27,1,3,1,104790,-4,25000,5,2,3,2,0,1,3,7,5,7,6,6,3,5240,30,1,3,1,6000,190,4,3,5,1,3,5,2,2,1,-4,3,12,14,0,1,-4,6070,0,12,12,3,-4,400,0,0,3
62,1,3,1980,150000,1,1,30,3,4,1,150609,-4,36000,6,3,4,2,0,1,1,7,7,1,1,7,1,2630,33,3,4,1,31000,240,3,1,3,2,3,3,2,2,0,-4,0,12,17,-4,2,-4,7370,1,14,14,4,4,500,0,0,4
63,2,10,1984,150000,1,1,26,3,2,1,106657,300,-4,5,4,2,3,0,1,1,7,6,2,6,6,6,-4,29,3,4,1,33000,176,3,2,4,2,4,4,2,3,0,430,1,12,16,-4,-4,-4,-4,1,14,14,4,-4,500,0,0,4
64,1,3,1980,40000,1,1,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,12,15,4,1,-4,7,0,-5
65,1,4,1984,-3,1,1,26,3,3,1,131285,-4,-2,5,11,2,1,0,1,7,7,7,3,2,7,3,3600,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,-3,-5,0,2,-4,8290,1,-3,95,4,4,600,1,0,-5
66,1,10,1980,-3,1,1,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,12,-3,4,4,-4,0,1,-5
67,1,11,1980,-3,1,1,30,1,6,1,150609,-4,-4,6,0,3,3,0,1,5,4,3,4,3,3,3,3620,33,1,6,1,35000,180,3,2,4,3,5,4,2,3,0,-4,0,12,19,0,1,-4,8090,0,12,18,4,-4,-4,1,1,6
68,1,1,1981,-3,1,1,29,1,2,1,112593,-4,-4,5,11,2,1,0,1,1,7,7,7,4,7,7,9990,32,1,2,1,-4,160,-1,-1,-1,-1,-1,-1,-1,1,0,-4,0,12,15,-4,1,-1,5690,0,12,-4,4,4,-4,1,0,2
69,2,7,1981,-3,1,1,29,3,4,1,123180,-4,52000,5,6,3,2,0,1,1,7,6,6,1,7,4,2010,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,12,-5,0,5,0,9470,1,12,16,2,1,600,1,0,-5
70,1,8,1982,-3,1,1,28,1,4,1,108397,-4,-2,6,0,3,2,0,1,1,7,7,3,1,3,2,2630,31,1,4,1,65000,185,4,5,5,2,5,5,2,1,0,-4,0,12,16,-4,1,-4,7370,1,12,16,2,3,600,2,1,4
71,1,1,1980,26015,1,1,30,1,2,1,150609,-4,38000,5,9,4,4,0,2,7,6,7,7,1,7,7,5860,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,0,12,-5,0,1,-4,7780,0,14,14,2,4,-4,0,1,2
72,2,4,1982,-4,1,1,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,-5,-5,1,12,11,2,3,-4,0,1,3
73,1,10,1984,-4,1,1,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,12,11,3,3,-4,0,0,-5
74,1,7,1983,-3,1,4,27,1,4,1,303599,-4,-4,5,10,3,4,0,1,7,7,7,4,3,4,3,2140,30,1,7,1,70000,185,3,2,4,2,4,-2,3,1,0,-4,0,12,20,-4,-4,-4,7270,1,-3,-3,2,2,0,0,0,7
75,1,1,1982,-4,1,4,28,1,2,1,367037,-4,36000,5,7,3,1,0,2,6,4,5,5,5,5,6,5610,32,1,2,1,55000,150,5,5,3,2,4,3,1,1,0,-4,0,12,15,0,3,-4,6290,0,8,-3,-4,2,-4,0,0,2
76,1,1,1982,-4,1,4,28,1,2,1,367037,-4,68000,5,7,4,2,0,1,6,5,4,5,1,7,1,3850,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,0,12,-5,1,1,-4,9470,0,8,-3,-4,2,-4,0,0,2
77,2,11,1984,35500,1,2,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,12,12,4,4,400,0,0,-5
78,2,7,1981,-3,1,4,29,1,3,1,397487,-4,15000,5,3,3,2,0,1,2,7,6,6,3,4,4,5700,32,1,3,1,-2,130,4,3,3,2,4,5,2,2,0,-4,0,12,14,0,2,-4,9170,0,-4,-3,4,-4,-4,0,0,3
79,1,12,1983,-3,1,2,26,1,1,1,125496,-4,5000,5,8,4,4,0,2,4,7,6,7,5,7,4,8300,30,1,1,1,3500,165,3,3,3,1,4,3,3,4,0,-4,0,9,13,0,2,-4,7690,0,14,11,4,4,500,5,1,1
80,1,6,1981,30000,1,1,29,1,1,1,134154,-2,-4,5,11,4,3,-2,1,5,7,7,7,5,5,1,-4,32,1,1,1,-4,240,4,2,3,2,4,3,3,4,1,-4,0,11,11,-4,-4,-4,-4,0,14,12,4,-4,-4,2,2,1
81,2,1,1984,4810,1,1,26,1,0,1,127081,-4,-2,5,9,3,3,0,1,3,7,7,7,5,5,7,4600,29,1,0,1,-2,140,5,1,4,1,5,3,3,2,0,-4,0,11,11,-4,-4,-4,9290,0,12,12,3,-4,300,3,1,0
82,1,7,1984,-3,1,2,26,1,4,1,110684,340,-4,6,1,3,2,0,1,1,7,7,7,1,5,1,7340,29,1,4,1,20000,250,4,2,4,2,3,3,2,3,0,-4,0,12,16,0,3,-4,7070,0,-4,-3,4,-4,100,0,0,4
83,1,9,1981,-3,1,2,29,1,1,1,124057,-4,20000,5,9,4,3,0,1,2,7,6,7,6,6,7,230,32,1,1,1,35000,185,3,3,3,2,2,5,2,1,0,-4,0,12,12,0,2,-4,7870,0,12,6,4,-4,0,0,0,1
84,2,2,1984,-3,1,2,26,3,2,1,104038,350,35000,5,3,3,3,0,1,1,7,7,6,6,5,5,-3,29,4,2,1,-2,136,1,1,5,1,1,3,1,2,0,400,2,12,13,-4,2,-4,-3,0,12,6,4,-4,0,0,0,2
85,1,2,1984,12000,1,4,26,1,2,1,378130,-4,20000,-2,-2,4,2,0,1,1,6,7,4,7,7,1,6210,30,1,2,1,2000,210,4,2,5,3,4,4,3,4,0,-4,1,12,12,1,3,0,770,0,12,12,2,-4,300,0,0,2
86,2,10,1980,-3,1,4,30,1,4,1,453669,-4,37300,5,3,3,3,0,3,1,2,5,4,6,3,4,710,33,1,5,1,36000,121,4,2,4,2,3,5,2,1,0,-4,1,12,18,0,3,-4,6180,1,12,12,4,4,-4,1,2,5
87,1,5,1984,42500,1,2,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,14,12,2,2,250,0,0,-5
88,1,1,1981,-4,1,4,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,33,1,2,1,75000,175,4,1,4,1,3,4,3,1,0,-5,-5,-5,12,-5,-5,-5,-5,1,12,12,2,2,-4,0,0,-5
89,1,11,1981,-4,1,4,28,1,5,1,342656,-4,59000,5,11,3,1,0,1,1,7,7,5,1,6,6,2320,32,1,5,1,64000,205,4,2,4,1,4,5,1,1,0,-4,1,12,20,1,2,-4,7860,1,6,6,4,4,-4,0,0,5
90,1,11,1981,-3,1,2,28,1,3,1,293271,350,28000,5,9,5,4,0,1,1,7,7,7,3,7,6,3410,32,1,3,1,25000,214,5,3,3,2,2,2,3,4,0,300,0,12,15,0,3,-4,5070,1,12,16,4,2,100,0,0,3
91,2,9,1982,-3,1,2,28,1,4,1,225721,-4,38000,5,9,4,4,0,1,1,7,7,7,5,1,4,1100,31,1,4,1,51000,250,2,4,5,1,1,2,1,4,0,-5,0,12,16,-4,3,-4,9590,1,12,16,4,4,100,0,0,-5
92,1,4,1983,37600,1,4,27,1,2,1,316518,-4,-4,5,2,3,3,1,5,2,-2,2,4,2,3,7,2440,30,1,2,1,-4,-2,2,5,2,1,2,2,4,3,0,-4,0,12,12,0,2,1,6770,1,12,10,-4,-4,500,0,0,2
93,1,9,1983,29000,1,2,27,3,2,0,241268,-2,26500,5,5,3,2,0,2,1,4,7,5,4,5,4,8960,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,1,12,-5,0,3,-4,1270,1,12,8,2,2,300,0,1,2
94,2,9,1980,17500,1,1,30,1,3,1,90489,-4,55000,5,3,4,1,0,5,5,6,2,1,1,6,7,5000,33,1,3,1,50000,168,3,5,1,3,2,1,3,2,0,-4,1,12,14,1,4,-4,9470,0,12,10,1,1,-4,2,3,3
95,1,7,1982,34738,1,2,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,8,8,4,4,300,0,0,-5
96,1,7,1982,75500,1,4,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,14,12,4,4,600,0,0,-5
97,1,6,1980,41100,1,2,30,1,4,1,327250,-4,58000,6,0,2,1,0,1,1,7,6,1,4,5,7,5120,33,1,4,1,60000,160,3,4,4,1,3,3,1,1,0,-4,2,12,16,0,2,1,9570,1,12,12,3,4,-4,2,1,4
