R0000100,R0536300,R0536401,R0536402,R1204500,R1235800,R1482600,T5201400,T5202300,T5207400,T5211900,T5213200,T5397100,T6055500,T6141700,T6141800,T6145800,T6206400,T6210200,T6216400,T6216401,T6216402,T6216403,T6216500,T6216501,T6216502,T6216503,T6231000,T8123600,T8123700,T8129600,T8134500,T8976700,T9039300,T9039400,T9039500,T9039600,T9039700,T9039800,T9039900,T9040000,T9093100,T9093300,U0203700,T5915200,T5206800,T8128900,T5797300,T5808400,T6316000,T6230100,R0532200,R1302400,R1302500,R1486500,R1486600,R1486900,R1487700,R1487800,U0009400
406,2,6,1983,67200,1,4,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,-5,-5,1,14,14,4,4,600,0,0,4
407,2,10,1981,3350,1,2,29,4,2,1,97199,-4,15600,5,5,4,1,0,1,1,7,7,1,1,5,1,4610,32,4,2,1,-4,170,2,2,2,1,4,3,1,2,0,-4,1,12,12,-4,1,-4,8370,0,-4,-3,1,-4,400,0,0,2
408,1,5,1980,-3,1,1,30,4,2,1,161222,200,35000,5,11,5,2,0,3,2,5,5,5,2,6,6,5700,33,3,2,1,35000,236,3,4,2,2,2,2,3,2,0,-4,0,12,14,1,1,-4,9370,0,-4,-3,2,-4,-4,0,0,2
409,2,12,1980,-3,1,1,29,4,2,1,100325,-4,9500,5,9,5,3,0,1,3,6,5,2,2,6,4,3500,32,4,2,1,36000,235,3,4,3,1,-1,-2,2,5,1,-4,0,12,12,1,-1,-4,8170,1,-3,-3,4,-4,-4,3,2,2
410,1,10,1980,-3,1,2,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,33,-4,1,-4,-4,167,5,4,5,1,5,5,1,1,0,-5,-5,-5,10,-5,-5,-5,-5,0,-4,-3,3,-4,-4,4,3,-5
411,2,2,1980,-4,1,2,30,4,2,1,139651,-4,-4,5,5,5,3,0,1,1,2,2,1,5,5,7,-4,33,4,2,1,3000,206,3,3,3,2,3,3,3,3,0,-4,0,12,13,-4,-4,0,-4,1,-3,-3,4,3,-4,2,2,2
412,1,2,1982,-4,1,2,28,4,5,1,128438,-4,-4,6,3,3,2,0,4,4,4,5,4,4,5,3,-4,31,4,5,1,-4,206,3,4,4,1,5,4,1,3,0,-4,0,12,19,-4,-4,-4,-4,1,-3,-3,2,2,-4,3,1,5
413,1,7,1980,-4,1,1,30,4,2,1,161222,-4,20000,6,1,5,4,0,3,5,4,3,5,5,4,5,3920,33,4,2,1,25000,-1,5,4,4,2,3,4,2,3,0,-4,0,12,12,1,2,-4,7680,0,-4,13,1,-4,-4,0,0,2
414,2,7,1980,3000,1,1,30,4,2,1,100325,-4,-4,5,7,5,5,1,5,4,4,6,7,6,6,4,-4,33,4,2,1,-4,-2,4,4,3,4,4,3,-2,5,1,-4,0,12,12,-4,-4,-4,-4,0,11,11,1,-4,-4,0,0,2
415,2,12,1981,150000,1,4,28,4,4,1,359680,400,65000,5,7,4,3,0,1,1,7,6,1,1,5,7,2300,32,4,4,1,65000,200,3,2,5,1,5,5,1,2,0,-4,0,12,17,1,1,0,7860,1,14,12,2,2,-4,0,1,4
